product,price
Koolboks 198L AC Inverter Freezer Alone,636000.00 NGN
200L AC Inverter Freezers (Koolboks freezer + 60Ah pedestal + 3* 300w solar panel),2420000.00 NGN
200L AC Inverter Freezers (Koolboks Freezer + 60Ah Pedestal Battery),1943000.00 NGN
219L Thermocool Inverter Solar Freezer Alone + pedestals,0.00 NGN
300L Scanfrost Inverter Solar Freezer Alone,728000.00 NGN
Kool-242L Somotex - Glass Top Freezer Alone,554000.00 NGN
Koolboks 208L DC Freezer (Freezer + 45Ah Pedestal),1950000.00 NGN
Koolboks 195L DC Ice Makers (Freezer + 150Ah Battery box + 4* 300w solar panel),3235000.00 NGN
Koolboks 530L AC Inverter Freezer Alone,1516000.00 NGN
Koolboks 538L DC Solar Freezer Alone,1516000.00 NGN
Koolboks 538L Freezer (Freezer + 100Ah pedestal),2840000.00 NGN
Koolboks 600L AC Inverter Solar Freezer Alone,1468000.00 NGN
Koolboks 600L AC Inverter Solar Freezer (Freezer + 100Ah Pedestal),3152000.00 NGN
Koolboks 198L AC Inverter Freezer (freezer + 60Ah pedestal + 3*300w solar panel),2265000.00 NGN
195L Koolboks DC Freezer Alone (Ice-Maker),1277000.00 NGN
Koolboks 198L AC Inverter Freezer Alone,636000.00 NGN
200L AC Inverter Freezers (Koolboks freezer + 60Ah pedestal + 3* 300w solar panel),2420000.00 NGN
200L AC Inverter Freezers (Koolboks Freezer + 60Ah Pedestal Battery),1943000.00 NGN
219L Thermocool Inverter Solar Freezer Alone + pedestals,0.00 NGN
300L Scanfrost Inverter Solar Freezer Alone,728000.00 NGN
Kool-242L Somotex - Glass Top Freezer Alone,554000.00 NGN
Koolboks 208L DC Freezer (Freezer + 45Ah Pedestal),1950000.00 NGN
Koolboks 195L DC Ice Makers (Freezer + 150Ah Battery box + 4* 300w solar panel),3235000.00 NGN
Koolboks 530L AC Inverter Freezer Alone,1516000.00 NGN
Koolboks 538L DC Solar Freezer Alone,1516000.00 NGN
Koolboks 538L Freezer (Freezer + 100Ah pedestal),2840000.00 NGN
Koolboks 600L AC Inverter Solar Freezer Alone,1468000.00 NGN
Koolboks 600L AC Inverter Solar Freezer (Freezer + 100Ah Pedestal),3152000.00 NGN
Koolboks 198L AC Inverter Freezer (freezer + 60Ah pedestal + 3*300w solar panel),2265000.00 NGN
195L Koolboks DC Freezer Alone (Ice-Maker),1277000.00 NGN
Koolboks 198L AC Inverter Freezer Alone,636000.00 NGN
200L AC Inverter Freezers (Koolboks freezer + 60Ah pedestal + 3* 300w solar panel),2420000.00 NGN
200L AC Inverter Freezers (Koolboks Freezer + 60Ah Pedestal Battery),1943000.00 NGN
219L Thermocool Inverter Solar Freezer Alone + pedestals,0.00 NGN
300L Scanfrost Inverter Solar Freezer Alone,728000.00 NGN
Kool-242L Somotex - Glass Top Freezer Alone,554000.00 NGN
Koolboks 208L DC Freezer (Freezer + 45Ah Pedestal),1950000.00 NGN
Koolboks 195L DC Ice Makers (Freezer + 150Ah Battery box + 4* 300w solar panel),3235000.00 NGN
Koolboks 530L AC Inverter Freezer Alone,1516000.00 NGN
Koolboks 538L DC Solar Freezer Alone,1516000.00 NGN
Koolboks 538L Freezer (Freezer + 100Ah pedestal),2840000.00 NGN
Koolboks 600L AC Inverter Solar Freezer Alone,1468000.00 NGN
Koolboks 600L AC Inverter Solar Freezer (Freezer + 100Ah Pedestal),3152000.00 NGN
Koolboks 198L AC Inverter Freezer (freezer + 60Ah pedestal + 3*300w solar panel),2265000.00 NGN
195L Koolboks DC Freezer Alone (Ice-Maker),1277000.00 NGN
Koolboks 198L AC Inverter Freezer Alone,636000.00 NGN
Koolboks 198L AC Inverter Freezer ( freezer + 60Ah pedestal ),1835000.00 NGN
200L AC Inverter Freezers (Koolboks freezer + 60Ah pedestal + 3* 300w solar panel),2420000.00 NGN
200L AC Inverter Freezers (Koolboks Freezer + 60Ah Pedestal Battery),1943000.00 NGN
219L Thermocool Inverter Solar Freezer (Maxi (24V 60AH battery + 40V PWM + 2 x 600W panels),2155000.00 NGN
219L Thermocool Inverter Solar Freezer Alone,610000.00 NGN
219L Thermocool Inverter Solar Freezer Alone + pedestals,0.00 NGN
300L Scanfrost Inverter Solar Freezer Alone,728000.00 NGN
600L Scanfrost Inverter Solar Freezer Maxi (Battery Integrated Freezer + 3 x 600W panels ),3858000.00 NGN
Kool-242L Somotex - Glass Top Freezer (Maxi (24V 60AH Generator + 40V PWM + 2 x 600W panels),2100000.00 NGN
Kool-242L Somotex - Glass Top Freezer Alone,554000.00 NGN
Kool Thermocool 100ah pedestal battery for 519L,1662370.00 NGN
Koolboks 208L DC Freezer (Freezer + 45Ah Pedestal),1950000.00 NGN
Koolboks 195L DC Ice Makers (Freezer + 150Ah Battery box + 4* 300w solar panel),3235000.00 NGN
Koolboks 538L Midi Freezer (Freezer + 100Ah Pedestal + 4* 300w solar panels),3607000.00 NGN
Koolboks 150Ah AC battery,1500000.00 NGN
Koolboks 530L AC freezer (Koolboks freezer + 100Ah Pedestal),3199000.00 NGN
Koolboks 530L AC freezer (Koolboks freezer + 100Ah Pedestal + 6*300w solar panel),3998000.00 NGN
Koolboks 530L AC Inverter Freezer Alone,1516000.00 NGN
Koolboks 538L DC Solar Freezer Alone,1516000.00 NGN
Koolboks 538L Freezer (Freezer + 100Ah pedestal),2840000.00 NGN
Koolboks 538L Maxi Freezer (Freezer + 100Ah Pedestal + 5* 300w Solar panels),3607000.00 NGN
Koolboks 600L AC Inverter Solar Freezer (Freezer + 100Ah Pedestal + 6*300w Solar Panel),3950000.00 NGN
Koolboks 600L AC Inverter Solar Freezer Alone,1468000.00 NGN
Koolboks 600L AC Inverter Solar Freezer (Freezer + 100Ah Pedestal),3152000.00 NGN
Koolboks 198L AC Inverter Freezer (freezer + 60Ah pedestal + 3*300w solar panel),2265000.00 NGN
195L koolboks DC freezer alone (ice-maker),1277000.00 NGN
300L Scanfrost Inverter Solar Freezer MAXI ( 24V 60AH Generator + 40V PWM + 2 x 600W panels),2274000.00 NGN
cleaner,0.00 NGN
reduces energy costs,0.00 NGN
reduces energy costs,0.00 NGN
it���s a smart investment for reliable,0.00 NGN
it���s a smart investment for reliable,0.00 NGN
Koolboks 198L AC Inverter Freezer ( freezer + 60Ah pedestal ),1835000.00 NGN
Koolboks 198L AC Inverter Freezer ( freezer + 60Ah pedestal ),1835000.00 NGN
Koolboks 198L AC Inverter Freezer Alone,636000.00 NGN
200L AC Inverter Freezers (Koolboks freezer + 60Ah pedestal + 3* 300w solar panel),2420000.00 NGN
200L AC Inverter Freezers (Koolboks Freezer + 60Ah Pedestal Battery),1943000.00 NGN
219L Thermocool Inverter Solar Freezer Alone + pedestals,0.00 NGN
Kool-242L Somotex - Glass Top Freezer Alone,554000.00 NGN
Koolboks 208L DC Freezer (Freezer + 45Ah Pedestal),1950000.00 NGN
Koolboks 195L DC Ice Makers (Freezer + 150Ah Battery box + 4* 300w solar panel),3235000.00 NGN
Koolboks 530L AC freezer (Koolboks freezer + 100Ah Pedestal),3199000.00 NGN
