Product Name,Price (₦),Image Link,Description
Koolboks 200L AC Inverter Solar Freezer Alone,"633,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/l0lD7eO4dr6KGRY7XXUKDEi7067ROp8EeZ9k6MIY.jpg,"Koolboks 200L AC Freezer—Efficient, Reliable Cooling for Home & Business The Koolboks 200L AC Freezer delivers spacious storage and consistent performance, making it an excellent choice for households, retail outlets, restaurants, and small businesses. Engineered for energy efficiency and ease of use, it combines practical features with a modern design to keep your frozen foods, beverages, and perishables at their best. Key Features 200-Litre Capacity Generous space for bulk storage of frozen..."
195L koolboks DC freezer alone (ice-maker),"1,277,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/7Ej4A2KYx4I4kOMCfPVOiPmlyny2nGDhP7H49ubC.png,"195L Koolboks DC Freezer Alone (Ice-Maker) The Koolboks 195L Ice Maker Freezer is a high-performance freezer designed for ice block production. With a 195-liter capacity, it ensures efficient freezing, making it ideal for businesses that require bulk ice blocks for commercial use. This upright freezer features multiple compartments for organized freezing, ensuring consistent ice formation. It is energy-efficient, durable, and built for heavy-duty use, making it the perfect choice for business..."
Koolboks 208L Dc Solar Freezer Alone,"1,034,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/qmzmZkcJWPs3YoxxddkjOQfQBRgtDl8uN9IwGZy8.jpg,"Koolboks 208L Chest Freezer—Compact, Efficient, Reliable Cooling The Koolboks 208L Chest Freezer is an ideal solution for homes, small businesses, and off-grid locations in need of dependable cold storage without the bulk of larger units. Combining ample capacity , energy-efficient operation , and robust construction , this freezer keeps your perishables fresh and your costs low, whether you're in the city or a remote area. Key Features 208-Litre Capacity Perfect for frozen foods, meats, vege..."
200L AC Inverter Freezers (Koolboks Freezer + 60Ah Pedestal Battery),"1,943,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/XzmOWpOM0obk7LEImpz314NK61sIJgv5eSpjXFeD.png,"Koolboks 200L AC Inverter Freezer with 60Ah Pedestal Battery Reliable Cooling, Backup Power, and Smart Features in One The Koolboks 200L AC Inverter Freezer is a smart and dependable cooling solution built for Nigerian homes, shops, and small businesses. Designed to handle power outages, this freezer pairs advanced inverter technology with a 60Ah lithium pedestal battery that keeps your items frozen even when the electricity goes out. More than just a freezer, Koolboks adds extra value with 2..."
200L AC Inverter Freezers (Koolboks freezer + 60Ah pedestal + 3* 300w solar panel),"2,420,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/EZltcdx0TuSzDrHSUEJFAGGdjKD0UyvZVw9V2tqx.png,"Koolboks 200L AC Inverter Freezer with 60Ah Pedestal Battery and 3300W Solar Panels Complete Off-Grid Cooling Solution – No Power? No Problem. The Koolboks 200L AC Inverter Freezer is a powerful, energy-efficient solution designed for areas with unstable or no electricity supply. It combines a high-performance Koolboks freezer, a durable 60Ah lithium pedestal battery, and three 300W solar panels —giving you a complete off-grid freezing system. Built for Nigerian households and businesses, thi..."
Kool-242L Somotex - Glass Top Freezer Alone,"554,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/fKuOFAMjvxBoZdY2vp6IguiSEIbs4aikHOWST2r8.png,"Bruhm 242L Glass Top Freezer Alone Spacious. Durable. Efficient. The Bruhm 242L Glass Top Freezer is a reliable and high-performing deep freezer designed for homes, stores, and small businesses. With a sleek tempered glass top , it allows easy visibility of stored items while keeping them perfectly frozen. This model offers fast cooling, low energy consumption, and a solid build for long-term use. Note: This is the freezer only – it does not include battery or solar accessories. Key Features:..."
Koolboks 208L DC inverter Freezer (45Ah pedestal + 2*300W Solar panel),"2,463,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/pGS42XDlozLIfJNI90cjkBYwLjGcEaMV0bIafdxY.png,"Koolboks Solar Freezer 208L + 45Ah Pedestal Battery + 2 x 300W Solar Panel Your Efficient, Compact, and Cost-Saving Solar Freezer Solution Power your business or household with the Koolboks 208L solar freezer package — a reliable, energy-efficient refrigeration system tailored for areas with limited or no access to electricity. This system includes a 208-liter Koolboks DC solar freezer, a compact 45Ah battery built into a stylish pedestal base, and 2 high-performance 300W solar panels for rel..."
Kool-242L Somotex - Glass Top Freezer (Maxi (24V 60AH Generator + 40V PWM + 2 x 600W panels),"2,100,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/RcdhSBzblrusuV0TqUUHa3NdFaL8ZYADU1CFyy9b.jpg,"Kool-242L Somotex Glass Top Freezer with Maxi Solar Kit (24V 60Ah Generator + 40V PWM + 2 600W Panels) Complete Solar-Powered Freezing – Efficient, Reliable & Off-Grid Ready This Kool-242L Glass Top Freezer, built by Somotex, comes paired with a full Maxi Solar Power Setup , making it the perfect solution for uninterrupted freezing in areas with unstable or no electricity. The sleek, transparent glass-top design allows for easy product visibility, while the powerful 24V 60Ah battery system, P..."
219L Thermocool Inverter Solar Freezer Alone,"610,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/Ukkv57MUIh0gNdWLd2q9pLVH0WdxKA7LIP6WxR9y.jpg,"Thermocool 219L Inverter Solar Freezer (Freezer Alone) Energy-Efficient Freezing Built for Solar Compatibility The Thermocool 219L Inverter Solar Freezer is designed to deliver powerful, consistent cooling while saving energy. Optimized for solar and inverter use, this freezer helps you keep your items frozen even in areas with unstable power supply. With its spacious interior and durable design, it&#39;s ideal for homes, small shops, and cold storage needs. This model is the freezer only —no..."
219L Thermocool Inverter Solar Freezer (Maxi (24V 60AH battery  + 40V PWM + 2 x 600W panels),"2,155,000",https://koolbuy-assets.s3.af-south-1.amazonaws.com/75ea71/prods/PnkILwKEif21NCxoRZUUa982Rw3lv6qpBzAdSvV3.jpg,"Thermocool 219L Inverter Solar Freezer with Maxi Solar Kit (24V 60Ah battery + 40V PWM + 2 600W Solar Panels) Smart Solar Freezing – Built for Off-Grid Performance The Thermocool 219L Inverter Solar Freezer , combined with the Maxi Solar Kit , offers a complete off-grid cooling solution for homes, small businesses, and remote areas. This package includes a high-performance inverter freezer paired with a 24V 60Ah lithium battery (solar generator) , a 40V PWM charge controller , and 2 powerful ..."
